Country;cod;First case date;Let1;Let2;Let3;Let4;Let5;Let6;Let7;Let8;Let9;Days;p60years;Sex;Literacy;Doctors;Beds;GDP;Health;Obesity;Passengers;Test;Quarantine;HIV/AIDS;Respiratory.infectious;Diabetes;Cardiovascular;Respiratory.diseases;Tobacco;Poverty;Urbanpop;Density;Nurse;Height
Afghanistan;AFG;31/12/2019;0,05907173;0,056306306;0,051020408;0,051020408;0,053635895;0,038915094;0,035782625;0,027869859;0,023603083;160;0,48119745;0,51364153;43,01972;0,284;0,5;19,36296958;0,0052;0,048;1722612,61;1,274;113;19,61849128;1424,883241;337,9796947;1570,722573;314,9830162;;;25,495;59,685;0,32;7492
Albania;ALB;9/03/2020;0,084942085;0,0625;0,05465587;0,047318612;0,040469974;0,037259615;0,035227273;0,034232365;0,031428571;91;0,39583749;0,4839545;98,14115;1,1998;2,9;15,1025009;0,0277;0,361;303137;5,808;;1,113198572;14,38607822;10,10859447;284,5767952;21,71688027;29,2;1,1;60,319;100,1043;3,5998;2764
Germany;DEU;31/12/2019;0,030164886;0,033575766;0,03917538;0,042927885;0,045035564;0,04674659;0,046778251;0,047222829;0,047387673;160;0,56155336;0,49339633;99;4,2087;8,3;3947,620163;0,0948;0,455;109796202,2;51,916;113;30,12108305;436,8395284;776,462164;5518,333931;1265,962433;30,7;0;77,312;234,614;13,1967;2963
Andorra;AND;3/03/2020;0,058974359;0,058510638;0,054977712;0,058091286;0,061911171;0,065246338;0,067105263;0,066929134;0,066841415;97;;;100;3,333;2,5;3,236543909;0,0509;0,619;;48,539;50;1,113198572;14,38607822;10,10859447;284,5767952;21,71688027;;;88,062;165,0962;4,0128;2942
Angola;AGO;22/03/2020;0,25;0,105263158;0,105263158;0,08;0,074074074;0,055555556;0,066666667;0,076923077;0,056338028;78;0,07190625;0,49469537;66;0,215;0,8;105,7509876;0,0127;0,17;1516628;305;;680,2358305;1866,623192;107,6284297;671,3587468;215,1392253;;30,1;65,514;26,3626;1,3123;2620
Antigua and Barbuda;ATG;15/03/2020;0,285714286;0,105263158;0,130434783;0,125;0,125;0,12;0,12;0,12;0,12;85;0,26309865;0,48211504;99;2,765;3,8;1,610574074;0,0261;0,618;580174,1568;;38;0,417303685;0,775835782;1,727076262;5,028616292;0,968088685;;;24,599;221,5588;3,1176;395
Saudi Arabia;SAU;3/03/2020;0,023837209;0,026944065;0,019447288;0,012292515;0,009765442;0,008547811;0,007561901;0,006795108;0,007371946;97;0,11111398;0,57375351;95;2,39;2,7;786,5218316;0,0389;0,69;39141660;28,087;50;11,30475122;217,5680574;218,1099029;1137,11523;154,7192634;13,6;;83,844;16,1948;5,7;3000
Argentina;ARG;4/03/2020;0,059772296;0,064723032;0,062218584;0,068066158;0,063710618;0,063172043;0,058584097;0,053861898;0,041843106;96;0,30425054;0,48762652;99,00387;3,96;5;519,8715198;0,0562;0,53;18081937;4,495;8;94,85388293;613,6193066;350,6392878;1832,093581;733,6984937;22;0,4;91,87;16,2551;2,58;6964,4
Armenia;ARM;31/12/2019;0,015761821;0,019296254;0,02160216;0,020366599;0,020703934;0,017253774;0,018020441;0,018592297;0,021867764;160;0,3442028;0,47043423;100;4,2;4,2;12,43308992;0,0163;0,4;45000;24,1;113;6,162102214;13,95650618;36,50785048;227,7019412;26,75284346;26,8;1,4;63,149;99,6282;5,6094;4090
Aruba;ABW;13/03/2020;;;;;;;;;;87;0,40557029;0,47467972;97,80742;1,12;;;;;274280;20,414;40;;;;;;;;43,411;593,1444;;
Australia;AUS;31/12/2019;0,010283834;0,010482529;0,010403727;0,013680096;0,014366114;0,01421526;0,014308199;0,014545968;0,014265734;160;0,42233446;0,49800377;99;3,5874;3,8;1433,904349;0,0641;0,6;75667645,03;64,781;76;5,186355429;81,31321638;156,6338514;749,5135986;312,3538315;14,8;0,7;86,012;3,3151;12,6612;2745
Austria;AUT;31/12/2019;0,025487816;0,030366249;0,035574777;0,038860972;0,039475393;0,039785769;0,039569919;0,039442304;0,04038334;160;0,49952684;0,49170573;99;5,1441;7,6;455,285818;0,0772;0,534;12935505;55,637;69;3,315552275;27,69030542;76,77657148;508,0470896;98,61790854;29,7;0,7;58,297;107,3839;8,1778;3798
